scenario,sparsity_pct,toggle_pct,iteration,time_ns,mode,vmin_mv,vmax_mv,droop_mv,overshoot_mv,pkpk_mv,baseline_droop_mv,baseline_pkpk_mv,droop_reduction_pct,pkpk_reduction_pct,avg_load_ma,peak_load_ma,delta_load_ma,event_latency_ps,control_latency_ps,settle_ns,vrefh_mv,vrefl_mv,vdrp_mv,vos_mv,ctie_hi,ctie_lo,global_code,pin_mw,pout_mw,efficiency_pct,current_eff_peak_pct,iq_est_ua,control_power_mw,guardband_power_mw,switching_power_mw,rail_violation,current_stddev_ma,current_stddev_min_ma,avg_ctot_code
dense_10pct_75pct,10.000000,75.000000,1,12800.000000,no_eec+no_learning+no_balance,767.111429,837.636307,32.888571,37.636307,70.524878,32.888571,70.524878,0.000000,0.000000,440.720807,532.263314,184.526627,0.000000,0.000000,20.000000,845.000000,755.000000,690.000000,890.000000,26624,6144,36725,552.462801,354.391214,64.147525,73.753660,629.066777,0.566160,140.755208,0.058030,0,0.037465,0.013573,46432.281250
dense_10pct_75pct,10.000000,75.000000,2,15360.000000,no_eec+no_learning+no_balance,773.958743,834.367785,26.041257,34.367785,60.409041,32.888571,70.524878,20.819739,14.343642,440.000000,532.263314,184.526627,0.000000,0.000000,0.000000,845.000000,755.000000,690.000000,890.000000,26624,6144,32305,546.229995,353.014473,64.627442,73.746999,581.198272,0.523078,140.525000,0.038359,0,0.036093,0.015094,45913.296875
dense_10pct_75pct,10.000000,75.000000,3,17920.000000,no_eec+no_learning+no_balance,780.364484,834.367785,19.635516,34.367785,54.003301,32.888571,70.524878,40.296840,23.426594,440.000000,532.263314,184.526627,0.000000,0.000000,0.000000,845.000000,755.000000,690.000000,890.000000,26624,6144,32305,542.963104,353.379214,65.083467,73.747745,562.358053,0.506122,140.525000,0.030785,0,0.036358,0.016838,45756.000000
dense_10pct_75pct,10.000000,75.000000,4,20480.000000,no_eec+no_learning+no_balance,780.364484,834.367785,19.635516,34.367785,54.003301,32.888571,70.524878,40.296840,23.426594,440.000000,532.263314,184.526627,0.000000,0.000000,0.000000,845.000000,755.000000,690.000000,890.000000,26624,6144,32305,542.963104,353.379214,65.083467,73.747745,562.358053,0.506122,140.525000,0.030785,0,0.036358,0.016838,45756.000000
dense_10pct_75pct,10.000000,75.000000,5,23040.000000,no_eec+no_learning+no_balance,780.364484,834.367785,19.635516,34.367785,54.003301,32.888571,70.524878,40.296840,23.426594,440.000000,532.263314,184.526627,0.000000,0.000000,0.000000,845.000000,755.000000,690.000000,890.000000,26624,6144,32305,542.963104,353.379214,65.083467,73.747745,562.358053,0.506122,140.525000,0.030785,0,0.036358,0.016838,45756.000000
dense_10pct_75pct,10.000000,75.000000,6,25600.000000,no_eec+no_learning+no_balance,780.364484,834.367785,19.635516,34.367785,54.003301,32.888571,70.524878,40.296840,23.426594,440.000000,532.263314,184.526627,0.000000,0.000000,0.000000,845.000000,755.000000,690.000000,890.000000,26624,6144,32305,542.963104,353.379214,65.083467,73.747745,562.358053,0.506122,140.525000,0.030785,0,0.036358,0.016838,45756.000000
dense_10pct_75pct,10.000000,75.000000,7,28160.000000,no_eec+no_learning+no_balance,780.364484,834.367785,19.635516,34.367785,54.003301,32.888571,70.524878,40.296840,23.426594,440.000000,532.263314,184.526627,0.000000,0.000000,0.000000,845.000000,755.000000,690.000000,890.000000,26624,6144,32305,542.963104,353.379214,65.083467,73.747745,562.358053,0.506122,140.525000,0.030785,0,0.036358,0.016838,45756.000000
dense_10pct_75pct,10.000000,75.000000,8,30720.000000,no_eec+no_learning+no_balance,780.364484,834.367785,19.635516,34.367785,54.003301,32.888571,70.524878,40.296840,23.426594,440.000000,532.263314,184.526627,0.000000,0.000000,0.000000,845.000000,755.000000,690.000000,890.000000,26624,6144,32305,542.963104,353.379214,65.083467,73.747745,562.358053,0.506122,140.525000,0.030785,0,0.036358,0.016838,45756.000000
dense_10pct_75pct,10.000000,75.000000,9,33280.000000,no_eec+no_learning+no_balance,780.364484,834.367785,19.635516,34.367785,54.003301,32.888571,70.524878,40.296840,23.426594,440.000000,532.263314,184.526627,0.000000,0.000000,0.000000,845.000000,755.000000,690.000000,890.000000,26624,6144,32305,542.963104,353.379214,65.083467,73.747745,562.358053,0.506122,140.525000,0.030785,0,0.036358,0.016838,45756.000000
dense_10pct_75pct,10.000000,75.000000,10,35840.000000,no_eec+no_learning+no_balance,780.364484,834.367785,19.635516,34.367785,54.003301,32.888571,70.524878,40.296840,23.426594,440.000000,532.263314,184.526627,0.000000,0.000000,0.000000,845.000000,755.000000,690.000000,890.000000,26624,6144,32305,542.963104,353.379214,65.083467,73.747745,562.358053,0.506122,140.525000,0.030785,0,0.036358,0.016838,45756.000000
